Replicate,Site,Latitude,Longitude,Date,Depth,Soak_time,Den_number,Caves_distance,Quarry_distance,Octopus_abundance,Octopus_presence,prop_struc_colonised,LC_cover,S_cover,CR_cover,F_cover,HY_cover,CS_cover,MO_cover,PO_cover,ET_cover,Identifier
GC1,Grouper Cave,25.357090,-76.509463,5/6/19,8.6,5732,1,1507.07818,397.35145,1,1,1.0,0,36,52,0,0,0,0,0,12,A1
GC1,Grouper Cave,25.355944,-76.507279,5/6/19,4.9,5744,2,1257.45391,528.12710,0,0,0,0,24,60,12,0,0,4,0,0,B1
GC1,Grouper Cave,25.355944,-76.507279,5/6/19,4.9,5744,2,1257.45391,528.12710,0,0,0,0,24,60,12,0,0,4,0,0,B1
GC1,Grouper Cave,25.357323,-76.510122,5/6/19,2.3,5736,3,1223.66479,576.43141,0,0,0,0,16,84,0,0,0,0,0,0,C1
GC1,Grouper Cave,25.357323,-76.510122,5/6/19,2.3,5736,3,1223.66479,576.43141,0,0,0,0,16,84,0,0,0,0,0,0,C1
GC1,Grouper Cave,25.357323,-76.510122,5/6/19,2.3,5736,3,1223.66479,576.43141,0,0,0,0,16,84,0,0,0,0,0,0,C1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC1,Grouper Cave,25.357056,-76.509951,5/6/19,3.4,5723,4,1190.92012,586.20556,0,0,0,0,40,48,0,0,0,12,0,0,D1
GC2,Grouper Cave,25.357125,-76.509778,13/6/19,5.0,5757,1,1231.26731,557.62882,1,1,1.0,0,40,32,4,0,0,24,0,0,E1
GC2,Grouper Cave,25.355522,-76.507922,13/6/19,2.9,5712,2,1396.77219,543.75975,0,0,0,0,0,56,28,0,0,12,4,0,F1
GC2,Grouper Cave,25.355522,-76.507922,13/6/19,2.9,5712,2,1396.77219,543.75975,0,0,0,0,0,56,28,0,0,12,4,0,F1
GC2,Grouper Cave,25.355745,-76.508953,13/6/19,2.6,5730,3,1488.96969,476.56591,0,0,0,0,0,88,12,0,0,0,0,0,G1
GC2,Grouper Cave,25.355745,-76.508953,13/6/19,2.6,5730,3,1488.96969,476.56591,0,0,0,0,0,88,12,0,0,0,0,0,G1
GC2,Grouper Cave,25.355745,-76.508953,13/6/19,2.6,5730,3,1488.96969,476.56591,0,0,0,0,0,88,12,0,0,0,0,0,G1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,1,1,0.25,0,36,60,0,0,0,0,0,4,H1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,0,0,0.25,0,36,60,0,0,0,0,0,4,H1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,0,0,0.25,0,36,60,0,0,0,0,0,4,H1
GC2,Grouper Cave,25.356049,-76.507416,13/6/19,7.9,5688,4,1489.03854,399.68637,0,0,0.25,0,36,60,0,0,0,0,0,4,H1
GC3,Grouper Cave,25.35612,-76.50976,21/6/19,1.2,5723,1,1465.53182,453.40663,0,0,0,0,0,32,68,0,0,0,0,0,I1
GC3,Grouper Cave,25.35584,-76.50792,21/6/19,6.5,5702,2,1381.98114,495.41266,1,1,0.5,0,20,76,0,0,0,0,4,0,J1
GC3,Grouper Cave,25.35584,-76.50792,21/6/19,6.5,5702,2,1381.98114,495.41266,0,0,0.5,0,20,76,0,0,0,0,4,0,J1
GC3,Grouper Cave,25.35619,-76.50869,21/6/19,7.7,5702,3,1331.41373,523.85248,0,0,0,0,12,76,0,0,0,8,0,4,K1
GC3,Grouper Cave,25.35619,-76.50869,21/6/19,7.7,5702,3,1331.41373,523.85248,0,0,0,0,12,76,0,0,0,8,0,4,K1
GC3,Grouper Cave,25.35619,-76.50869,21/6/19,7.7,5702,3,1331.41373,523.85248,0,0,0,0,12,76,0,0,0,8,0,4,K1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC3,Grouper Cave,25.35642,-76.50914,21/6/19,4.5,5742,4,1310.09080,594.47261,0,0,0,0,8,20,32,0,0,32,8,0,L1
GC4,Grouper Cave,25.35659,-76.50964,29/6/19,3.6,5674,1,1610.18887,417.38122,1,1,1.0,0,0,24,40,0,0,28,8,0,M1
GC4,Grouper Cave,25.35522,-76.50661,29/6/19,1.4,5623,2,1497.68787,441.59539,0,0,0,0,0,0,100,0,0,0,0,0,N1
GC4,Grouper Cave,25.35522,-76.50661,29/6/19,1.4,5623,2,1497.68787,441.59539,0,0,0,0,0,0,100,0,0,0,0,0,N1
GC4,Grouper Cave,25.35570,-76.50763,29/6/19,2.9,5631,3,1281.91014,562.78150,0,0,0,0,4,52,0,0,0,28,12,4,O1
GC4,Grouper Cave,25.35570,-76.50763,29/6/19,2.9,5631,3,1281.91014,562.78150,0,0,0,0,4,52,0,0,0,28,12,4,O1
GC4,Grouper Cave,25.35570,-76.50763,29/6/19,2.9,5631,3,1281.91014,562.78150,0,0,0,0,4,52,0,0,0,28,12,4,O1
GC4,Grouper Cave,25.35716,-76.51044,29/6/19,4.0,5698,4,1180.14337,621.36493,0,0,0,4,0,8,88,0,0,0,0,0,P1
GC4,Grouper Cave,25.35716,-76.51044,29/6/19,4.0,5698,4,1180.14337,621.36493,0,0,0,4,0,8,88,0,0,0,0,0,P1
GC4,Grouper Cave,25.35716,-76.51044,29/6/19,4.0,5698,4,1180.14337,621.36493,0,0,0,4,0,8,88,0,0,0,0,0,P1
GC4,Grouper Cave,25.35716,-76.51044,29/6/19,4.0,5698,4,1180.14337,621.36493,0,0,0,4,0,8,88,0,0,0,0,0,P1
GC5,Grouper Cave,25.35581,-76.50856,7/7/19,6.0,5662,1,1140.60407,609.83768,1,1,1.0,0,24,36,0,0,0,12,16,12,Q1
GC5,Grouper Cave,25.35769,76.51043,7/7/19,6.2,5679,2,1271.72591,539.33264,1,1,0.5,0,20,60,0,0,0,8,12,0,R1
GC5,Grouper Cave,25.35769,76.51043,7/7/19,6.2,5679,2,1271.72591,539.33264,0,0,0.5,0,20,60,0,0,0,8,12,0,R1
GC5,Grouper Cave,25.35686,-76.50950,7/7/19,7.8,5669,3,1405.13189,471.51339,1,1,0.33,0,8,60,8,0,0,12,12,0,S1
GC5,Grouper Cave,25.35686,-76.50950,7/7/19,7.8,5669,3,1405.13189,471.51339,0,0,0.33,0,8,60,8,0,0,12,12,0,S1
GC5,Grouper Cave,25.35686,-76.50950,7/7/19,7.8,5669,3,1405.13189,471.51339,0,0,0.33,0,8,60,8,0,0,12,12,0,S1
GC5,Grouper Cave,25.35617,-76.50840,7/7/19,8.6,5659,4,1420.22223,506.91491,1,1,0.5,0,4,52,24,0,0,8,12,0,T1
GC5,Grouper Cave,25.35617,-76.50840,7/7/19,8.6,5659,4,1420.22223,506.91491,1,1,0.5,0,4,52,24,0,0,8,12,0,T1
GC5,Grouper Cave,25.35617,-76.50840,7/7/19,8.6,5659,4,1420.22223,506.91491,0,0,0.5,0,4,52,24,0,0,8,12,0,T1
GC5,Grouper Cave,25.35617,-76.50840,7/7/19,8.6,5659,4,1420.22223,506.91491,0,0,0.5,0,4,52,24,0,0,8,12,0,T1
OD1,Emmas,25.363216,-76.509480,31/5/19,4.3,5751,1,826.56159,844.94818,0,0,0,24,0,48,28,0,0,0,0,0,U1
OD1,Emmas,25.362880,-76.508916,31/5/19,8.5,5755,2,892.71094,796.52378,1,1,0.5,0,0,0,0,100,0,0,0,0,V1
OD1,Emmas,25.362880,-76.508916,31/5/19,8.5,5755,2,892.71094,796.52378,0,0,0.5,0,0,0,0,100,0,0,0,0,V1
OD1,Emmas,25.363491,-76.510038,31/5/19,3.8,5754,3,952.82246,735.43323,0,0,0,100,0,0,0,0,0,0,0,0,W1
OD1,Emmas,25.363491,-76.510038,31/5/19,3.8,5754,3,952.82246,735.43323,0,0,0,100,0,0,0,0,0,0,0,0,W1
OD1,Emmas,25.363491,-76.510038,31/5/19,3.8,5754,3,952.82246,735.43323,0,0,0,100,0,0,0,0,0,0,0,0,W1
OD1,Emmas,25.363486,-76.510703,31/5/19,2.4,5753,4,1015.24462,669.45718,0,0,0,100,0,0,0,0,0,0,0,0,X1
OD1,Emmas,25.363486,-76.510703,31/5/19,2.4,5753,4,1015.24462,669.45718,0,0,0,100,0,0,0,0,0,0,0,0,X1
OD1,Emmas,25.363486,-76.510703,31/5/19,2.4,5753,4,1015.24462,669.45718,0,0,0,100,0,0,0,0,0,0,0,0,X1
OD1,Emmas,25.363486,-76.510703,31/5/19,2.4,5753,4,1015.24462,669.45718,0,0,0,100,0,0,0,0,0,0,0,0,X1
OD2,Emmas,25.36301,-76.50998,9/6/19,4.3,5719,1,801.26097,846.89550,0,0,0,92,0,8,0,0,0,0,0,0,Y1
OD2,Emmas,25.36317,-76.51102,9/6/19,5.0,5717,2,907.37845,755.57258,0,0,0,0,0,0,0,0,100,0,0,0,Z1
OD2,Emmas,25.36317,-76.51102,9/6/19,5.0,5717,2,907.37845,755.57258,0,0,0,0,0,0,0,0,100,0,0,0,Z1
OD2,Emmas,25.36295,-76.50837,9/6/19,6.8,5756,3,1040.89837,644.49699,0,0,0,0,28,52,0,0,0,0,0,20,AA1
OD2,Emmas,25.36295,-76.50837,9/6/19,6.8,5756,3,1040.89837,644.49699,0,0,0,0,28,52,0,0,0,0,0,20,AA1
OD2,Emmas,25.36295,-76.50837,9/6/19,6.8,5756,3,1040.89837,644.49699,0,0,0,0,28,52,0,0,0,0,0,20,AA1
OD2,Emmas,25.36277,-76.50868,9/6/19,8.8,5729,4,1067.90034,639.71019,0,0,0,0,0,0,0,100,0,0,0,0,BB1
OD2,Emmas,25.36277,-76.50868,9/6/19,8.8,5729,4,1067.90034,639.71019,0,0,0,0,0,0,0,100,0,0,0,0,BB1
OD2,Emmas,25.36277,-76.50868,9/6/19,8.8,5729,4,1067.90034,639.71019,0,0,0,0,0,0,0,100,0,0,0,0,BB1
OD2,Emmas,25.36277,-76.50868,9/6/19,8.8,5729,4,1067.90034,639.71019,0,0,0,0,0,0,0,100,0,0,0,0,BB1
OD3,Emmas,25.36331,-76.51008,17/6/19,8.2,5744,1,829.02798,832.66768,0,0,0,4,8,76,8,0,0,0,0,4,CC1
OD3,Emmas,25.36331,-76.51071,17/6/19,5.1,5762,2,891.54260,785.57614,0,0,0,0,12,64,12,0,12,0,0,0,DD1
OD3,Emmas,25.36331,-76.51071,17/6/19,5.1,5762,2,891.54260,785.57614,0,0,0,0,12,64,12,0,12,0,0,0,DD1
OD3,Emmas,25.36261,-76.50752,17/6/19,1.6,5684,3,995.19569,689.35098,1,1,0.33,96,0,0,4,0,0,0,0,0,EE1
OD3,Emmas,25.36261,-76.50752,17/6/19,1.6,5684,3,995.19569,689.35098,0,0,0.33,96,0,0,4,0,0,0,0,0,EE1
OD3,Emmas,25.36261,-76.50752,17/6/19,1.6,5684,3,995.19569,689.35098,0,0,0.33,96,0,0,4,0,0,0,0,0,EE1
OD3,Emmas,25.36297,-76.50910,17/6/19,8.3,5720,4,1158.87779,558.78774,1,1,0.5,0,0,0,0,100,0,0,0,0,FF1
OD3,Emmas,25.36297,-76.50910,17/6/19,8.3,5720,4,1158.87779,558.78774,1,1,0.5,0,0,0,0,100,0,0,0,0,FF1
OD3,Emmas,25.36297,-76.50910,17/6/19,8.3,5720,4,1158.87779,558.78774,0,0,0.5,0,0,0,0,100,0,0,0,0,FF1
OD3,Emmas,25.36297,-76.50910,17/6/19,8.3,5720,4,1158.87779,558.78774,0,0,0.5,0,0,0,0,100,0,0,0,0,FF1
OD4,Emmas,25.36359,-76.51109,25/6/19,1.9,5713,1,786.33822,881.89541,0,0,0,96,0,0,4,0,0,0,0,0,GG1
OD4,Emmas,25.36298,-76.50936,25/6/19,6.6,5674,2,867.83797,817.73507,0,0,0,0,16,68,0,0,0,0,0,16,HH1
OD4,Emmas,25.36298,-76.50936,25/6/19,6.6,5674,2,867.83797,817.73507,0,0,0,0,16,68,0,0,0,0,0,16,HH1
OD4,Emmas,25.36354,-76.51028,25/6/19,2.7,5701,3,969.27076,708.26178,0,0,0,4,0,40,52,0,0,0,0,4,II1
OD4,Emmas,25.36354,-76.51028,25/6/19,2.7,5701,3,969.27076,708.26178,0,0,0,4,0,40,52,0,0,0,0,4,II1
OD4,Emmas,25.36354,-76.51028,25/6/19,2.7,5701,3,969.27076,708.26178,0,0,0,4,0,40,52,0,0,0,0,4,II1
OD4,Emmas,25.36360,-76.50894,25/6/19,2.8,5668,4,1000.85154,731.77666,0,0,0,0,0,0,12,0,88,0,0,0,JJ1
OD4,Emmas,25.36360,-76.50894,25/6/19,2.8,5668,4,1000.85154,731.77666,0,0,0,0,0,0,12,0,88,0,0,0,JJ1
OD4,Emmas,25.36360,-76.50894,25/6/19,2.8,5668,4,1000.85154,731.77666,0,0,0,0,0,0,12,0,88,0,0,0,JJ1
OD4,Emmas,25.36360,-76.50894,25/6/19,2.8,5668,4,1000.85154,731.77666,0,0,0,0,0,0,12,0,88,0,0,0,JJ1
OD5,Emmas,25.36264,-76.50839,3/7/19,8.3,5692,1,863.53625,790.33622,1,1,1.0,0,40,52,0,0,0,0,0,8,KK1
OD5,Emmas,25.36303,-76.51042,3/7/19,7.1,5751,2,1108.67062,585.22046,0,0,0,0,0,4,28,0,68,0,0,0,LL1
OD5,Emmas,25.36303,-76.51042,3/7/19,7.1,5751,2,1108.67062,585.22046,0,0,0,0,0,4,28,0,68,0,0,0,LL1
OD5,Emmas,25.36256,-76.50804,3/7/19,6.6,5678,3,996.33928,744.96854,0,0,0,0,12,64,0,0,0,0,0,24,MM1
OD5,Emmas,25.36256,-76.50804,3/7/19,6.6,5678,3,996.33928,744.96854,0,0,0,0,12,64,0,0,0,0,0,24,MM1
OD5,Emmas,25.36256,-76.50804,3/7/19,6.6,5678,3,996.33928,744.96854,0,0,0,0,12,64,0,0,0,0,0,24,MM1
OD5,Emmas,25.36373,-76.50897,3/7/19,2.2,5715,4,1072.37516,614.46103,0,0,0,100,0,0,0,0,0,0,0,0,NN1
OD5,Emmas,25.36373,-76.50897,3/7/19,2.2,5715,4,1072.37516,614.46103,0,0,0,100,0,0,0,0,0,0,0,0,NN1
OD5,Emmas,25.36373,-76.50897,3/7/19,2.2,5715,4,1072.37516,614.46103,0,0,0,100,0,0,0,0,0,0,0,0,NN1
OD5,Emmas,25.36373,-76.50897,3/7/19,2.2,5715,4,1072.37516,614.46103,0,0,0,100,0,0,0,0,0,0,0,0,NN1